bowler,wickets,economy,balls
YS Chahal,213,7.74,3628
DJ Bravo,207,8.08,3296
PP Chawla,201,7.98,3895
SP Narine,200,6.76,4146
R Ashwin,198,6.97,4679
B Kumar,195,7.46,4060
SL Malinga,188,7.03,2974
A Mishra,183,7.3,3444
JJ Bumrah,182,7.23,3185
RA Jadeja,169,7.57,3895
UT Yadav,163,8.35,3190
Harbhajan Singh,161,7.04,3496
Rashid Khan,157,6.91,2901
Sandeep Sharma,153,7.71,2925
HV Patel,151,8.45,2284
MM Sharma,147,8.52,2308
Mohammed Shami,144,8.3,2521
AR Patel,131,7.28,3152
TA Boult,128,8.12,2428
R Vinay Kumar,127,8.35,2186
